City,Title,Description,Address,url,Date,Time,Image File
Seattle,Fremont Troll,An 18-ft. tall troll made of cement clutches an old VW car underneath this Seattle overpass. The car is an actual Volkswagen encased in concrete; it bears a California license plate.,"3468 Aurora Ave N, Seattle, 98103",https://www.atlasobscura.com/things-to-do/seattle-washington,,,fremont_troll.png
Seattle,Mystery Soda Machine,An old vending machine serves up unpredictable beverages from its seemingly magical insides.  ,"John Street and 11th Avenue East, Seattle, Washington, 98102",https://www.atlasobscura.com/places/mystery-soda-machine,,,mystery_soda_machine.jpeg
Seattle,Gum Wall,Down an unassuming alleyway next to Seattle’s famed Pike Place Market is a hidden work of art dubbed the Gum Wall or the Wall of Gum. The unexpected and colorful display is an excellent representation of Seattle’s unique charm and character.,"1428 Post Alley, Seattle, Washington, 98101",https://www.atlasobscura.com/places/gum-wall,,,gum_wall.jpg
Seattle,Seattle Underground,"In 1889, a fire raged through the fledgling city, razing much of the wood buildings in the business district. The blaze was widely attributed to a careless worker heating glue over a gas fire, catching the furnishings and floor on fire in a cabinetry shop. Founded on the logging industry, most of the original city was built of wood and little survived the flames that destroyed 31 blocks.","614 1st Ave, Seattle, WA 98104",https://www.atlasobscura.com/places/seattle-underground,,,seattle_underground.jpeg
Seattle,Mt. Rainier Day Trip from Seattle,"With massive glaciers, powerful waterfalls, and alpine meadows, Mount Rainier National Park is among one of Washington's most spectacular reserves, but it can be hard to get to, especially in heavy traffic. Visiting the active volcano on a guided tour lets you focus on the views while your guide takes on the hassle of driving. Plus your guide knows some of the best stops to make at some of the most beautiful places in the park.","Mount Rainier National Park, WA 98304",https://www.tripadvisor.com/AttractionProductReview-g60878-d11449392-Mt_Rainier_Day_Trip_from_Seattle-Seattle_Washington.html,,,mt_rainier.jpeg
Seattle,The Museum of Flight,"Walk the aisle of JFK's Air Force One and climb aboard the West Coast's only Concorde. Revel in the history and heroics of WWI and WWII. Barrel-roll a Mustang, land on the moon, and soar over Puget Sound in a simulator. Experience the excitement of the space race and sit at the controls of the world's fastest jet. From the Wright brothers to the exploration of Mars, you'll find it at The Museum of Flight!","9404 East Marginal Way South, Seattle, WA 98108-4046",https://www.tripadvisor.com/Attraction_Review-g60878-d109350-Reviews-The_Museum_of_Flight-Seattle_Washington.html,,,museum of flight.jpeg
Seattle,Pacific Science Center,"Pacific Science Center ignites curiosity in every child and fuels a passion for discovery, experimentation, and critical thinking in all of us. Get hands-on in our Tinker Tank maker space, wander among fluttering tropical butterflies, immerse yourself in a giant-screen IMAX film, explore distant galaxies and meet local scientists and researchers. Don't miss a show in our popular Laser Dome that features a brand new laser system filling the dome with vibrant light and color! Every visit to Pacific Science Center is unique, engaging and fun for adults and children alike. In addition to our daily live science demonstrations, IMAX films, planetarium and laser shows, we feature traveling exhibits that vary throughout the year.","200 2nd Ave N, Seattle, WA 98109-4895",https://www.tripadvisor.com/Attraction_Review-g60878-d141517-Reviews-Pacific_Science_Center-Seattle_Washington.html,,,pacific_science_center.jpeg
Seattle,Snoqualmie Falls and Seattle Winery Tour,"With so much to see and do in Seattle, it’s easy to forget about highlights just outside the city limits. This Snoqualmie Falls and winery tour from Seattle takes you beyond the city to see the massive waterfall. It also makes stops at two popular Washington wineries and a chocolate factory. Round-trip transport is included for an added convenience.","Snoqualmie, WA 98024",https://www.tripadvisor.com/AttractionProductReview-g60878-d11449393-Snoqualmie_Falls_and_Seattle_Winery_Tour-Seattle_Washington.html,,,snoqualmie_falls.jpeg
Seattle,Space Needle,"Seattle’s “must see” is now a “must do” following the Space Needle’s multimillion-dollar renovation. Glide onto The Loupe, the world’s first and only rotating glass floor, for never-before-seen views of the structure and the city. Lean into tilting glass walls on the open-air deck and float over Seattle on one of 24 angled Skyriser glass benches. Sip and sample the Pacific Northwest’s best while savoring the thrilling views. The future. Now open.","400 Broad Street, Seattle, WA 98109-4607",https://www.tripadvisor.com/Attraction_Review-g60878-d123109-Reviews-Space_Needle-Seattle_Washington.html,,,space_needle.jpeg
Seattle,Dimitriou's Jazz Alley,"This jazz club has been in Seattle for many years and features the best jazz, locally and nationally.","2033 6th Ave, Seattle, WA 98121-2573",https://www.tripadvisor.com/Attraction_Review-g60878-d103583-Reviews-Dimitriou_s_Jazz_Alley-Seattle_Washington.html,,,jazz_alley.jpeg
Seattle,Pike Brewing Company,local micro-brew beer at Pike's Place Market,"1415 1st Ave, Seattle, WA 98101-2017",https://www.tripadvisor.com/Attraction_Review-g60878-d601100-Reviews-Pike_Brewing_Company-Seattle_Washington.html,,,pike_brewing.jpeg
Seattle,Showbox,Music Venue,"1426 1st Ave, Seattle, WA 98101-2004",https://www.tripadvisor.com/Attraction_Review-g60878-d601138-Reviews-Showbox-Seattle_Washington.html,,,showbox.jpeg
Seattle,Nue,"Street Food, International, Vegetarian Friendly, Vegan Options","1519 14th Ave, Seattle, WA 98122-4023",https://www.tripadvisor.com/Restaurant_Review-g60878-d7951600-Reviews-Nue-Seattle_Washington.html,,,nue.jpeg
Seattle,Chan," Asian, Korean, Gastropub, Vegetarian Friendly, Gluten Free Options","86 Pine St, Seattle, WA 98101-1531",https://www.tripadvisor.com/Restaurant_Review-g60878-d3226980-Reviews-Chan-Seattle_Washington.html,,,chan.jpeg
Seattle,An Insect Feast with The Bug Chef,"Munch on crickets, locusts, and Chinese medicinal ants in an iconic 1960s dive bar at this Gastro Obscura event.","18041 Aurora Avenue North, Seattle, Washington, 98133,",https://www.atlasobscura.com/events/an-insect-feast-with-the-bug-chef,16-Jun-19,4:00 p.m. to 6:00 p.m.,insect_dinner.jpeg
Seattle,Seattle Great Wheel,Take a ride on the iconic Seattle Great Wheel on Pier 57 and see the city of Seattle like never before. Each gondola can fit 8 people and provide an amazing ride that lights up the sky at night.,"1301 Alaskan Way, Seattle, WA 98101-2013",https://www.tripadvisor.com/Attraction_Review-g60878-d3308043-Reviews-Seattle_Great_Wheel-Seattle_Washington.html,,,seattle-great-wheel.jpg
Seattle,Bruce Lee Grave Site,Bruce Lee Grave Site,"554 15th Ave E, Seattle, WA 98112-2805",https://www.tripadvisor.com/Attraction_Review-g60878-d615595-Reviews-Bruce_Lee_Grave_Site-Seattle_Washington.html,,,bruce_lee.jpg
Seattle,Breeze Spa,Custom Massage for Singles or Couples at Breeze Spa ,"10657 Northeast 2nd Street, Bellevue, WA 98004",https://www.livingsocial.com/deals/breeze-spa-seattle,,,breeze_spa.jpg
Seattle,The Little Red Day Spa,Couples Getaway in Suite at The Little Red Day Spa,"3200 Airport Way South Bldg. 12, Seattle, WA 98134",https://www.livingsocial.com/deals/the-little-red-day-spa-10,,,little_red.jpg
Seattle,Seattle Chocolate Factory Store,"The Experience Chocolate Tour is now open in the heart of Tukwila with a delicious, likeable, shareable chocolate-centric experience in the Seattle Chocolate Company’s factory. The Tour lives a nibble from Southcenter Mall and a few bites from the SEATAC International Airport. Our tour was developed by a collective of chocolate obsessed operations, purchasing, quality, customer service, sales, retail and marketers at Seattle Chocolate Company. Highlights include a 9.5’ high, 180’ long magenta powder-coated steel raised walkway, a closeup and a bird’s eye view of our Italian and Danish chocolate machines, a chocolate bath and wafts of mouth-watering chocolate aroma. All visitors will learn a little chocolate history and along the way taste freshly made chocolate. Tours are open Monday through Saturday from 10am to 3pm. Admission is $10 per person. Children 5 and younger are not permitted. Our retail store is open Monday through Friday 10am to 6pm & Saturday from 10am to 5pm.","1180 Andover Park W, Seattle, WA 98188-3909",https://www.tripadvisor.com/Attraction_Review-g60878-d11929701-Reviews-Seattle_Chocolate_Factory_Store-Seattle_Washington.html,,,eattle_chocolate_factory.jpg
Seattle,Pike Place Market,"One of the few authentic farmer's markets in the United States, this hub of delicious scents, delectable eats and delightful personalities attracts nine million visitors a year.","97 Pike St,  Seattle, WA, 98101",https://www.tripadvisor.com/Attraction_Review-g60878-d103584-Reviews-Pike_Place_Market-Seattle_Washington.html,,,pike_plac.jpeg
Seattle,Made in Washington,Store with products and gifts made in Washington state.,"1530 Post Aly,  Seattle, WA 98101",https://www.tripadvisor.com/Attraction_Review-g60878-d603535-Reviews-Made_in_Washington-Seattle_Washington.html,7/19/2019 - 7/20/2019,,made_in_washington.jpg
Seattle,CAPITOL HILL BLOCK PARTY 2019,"These tickets are for Capitol Hill Block Party 2019, not for a specific artist. Artist, venue, and schedule are subject to change without notice. Tickets are non-refundable for any reason including artist cancellation. This festival takes place rain or shine. In the event of festival cancellation, all tickets will be automatically refunded.","925 East Pike Street,  Seattle, WA 98122",https://www.eventbrite.com/e/capitol-hill-block-party-2019-tickets-52495809379?aff=ehomecard,,,capitol_hill_bp.jpeg
Seattle,Seattle Mariners,Seattle's major league baseball team,"250 First Avenue, Seattle,",https://www.stubhub.com/sports-tickets/category/28/,,,mariners.jpeg
Seattle,LifeFloat,"Flotation sessions help relax the body and mind, release tension, and ease pain","213 Yale Avenue North, Seattle, WA 98109",https://www.groupon.com/deals/life-float-float-spa-management-llc-2,,,life_float.jpg
